epoch,train_loss,train_acc,train_yield_rmse,val_loss,val_acc,val_yield_rmse,lr,elapsed_s
1,2.2196,83.615,21.418,1.28784,95.256,12.1399,9.89e-05,138.5
2,1.18207,94.556,7.7106,0.95654,96.906,4.8108,9.57e-05,117.2
3,1.05073,96.686,5.983,0.90492,97.879,4.3912,9.05e-05,126.9
4,1.01473,97.444,5.7984,0.8911,98.222,4.4584,8.36e-05,124.0
5,0.98506,98.175,5.5491,0.87618,98.286,4.2946,7.52e-05,126.0
6,0.97166,98.396,5.5389,0.86778,98.581,4.2515,6.58e-05,127.2
7,0.953,98.784,5.4008,0.86968,98.35,4.2183,5.57e-05,132.1
8,0.94218,98.961,5.283,0.85203,98.924,4.1099,4.53e-05,136.0
9,0.93039,99.268,5.2581,0.85161,98.82,4.1096,3.52e-05,133.9
10,0.92379,99.383,5.1983,0.8444,99.027,4.0275,2.58e-05,137.9
11,0.91725,99.457,5.1248,0.8347,99.306,3.9963,1.74e-05,139.6
12,0.91063,99.656,5.0968,0.8371,99.211,4.0082,1.05e-05,141.3
13,0.90843,99.658,5.0813,0.8349,99.282,4.036,5.28e-06,137.4
14,0.90473,99.727,5.0435,0.83287,99.274,3.9838,2.08e-06,142.3
15,0.90279,99.757,5.0031,0.83213,99.282,3.9659,1.00e-06,141.2
