epoch,train_loss,train_acc,train_yield_rmse,val_loss,val_acc,val_yield_rmse,lr,elapsed_s
1,1.21292,99.519,4.1818,1.04003,99.353,3.2957,7.98e-05,198.4
2,1.19423,99.47,3.9805,1.02517,99.57,3.1459,7.91e-05,174.8
3,1.17786,99.561,3.8385,1.03762,99.403,3.3082,7.81e-05,176.2
4,1.17408,99.537,3.8159,1.02912,99.449,3.1361,7.66e-05,179.2
5,1.16861,99.612,3.7836,1.01722,99.479,3.0935,7.47e-05,181.0
6,1.16444,99.608,3.7483,1.01491,99.6,3.1255,7.25e-05,179.4
7,1.1597,99.662,3.7461,1.02044,99.398,3.1203,6.99e-05,180.0
8,1.15276,99.699,3.6814,1.01435,99.514,3.0889,6.69e-05,180.3
9,1.14929,99.703,3.6507,1.0094,99.707,3.1059,6.37e-05,179.6
10,1.14199,99.744,3.6126,1.01085,99.595,3.0947,6.03e-05,179.2
11,1.14204,99.746,3.6276,1.01251,99.661,3.0809,5.66e-05,179.5
12,1.13882,99.805,3.6158,1.00736,99.59,3.0559,5.27e-05,180.0
13,1.13464,99.814,3.5688,1.00483,99.772,3.0978,4.87e-05,179.2
14,1.13268,99.849,3.5918,0.99985,99.707,3.0255,4.46e-05,179.0
15,1.13099,99.844,3.5631,1.00215,99.752,3.0609,4.05e-05,179.0
16,1.12725,99.915,3.5724,0.99995,99.742,3.0208,3.64e-05,178.1
17,1.12551,99.924,3.5377,0.99538,99.767,3.0095,3.23e-05,178.7
18,1.12319,99.916,3.5519,0.99251,99.732,2.9492,2.83e-05,178.6
19,1.11903,99.935,3.4918,0.9914,99.762,2.9526,2.44e-05,178.9
20,1.1183,99.928,3.4996,0.99583,99.808,2.9748,2.08e-05,178.7
21,1.11987,99.942,3.5332,0.99355,99.813,2.9621,1.73e-05,178.0
22,1.11737,99.958,3.5065,0.99366,99.793,2.9897,1.41e-05,177.4
23,1.116,99.967,3.5048,0.9968,99.798,3.0375,1.11e-05,177.4
24,1.11299,99.97,3.4691,0.99665,99.788,3.0283,8.54e-06,177.8
25,1.11111,99.973,3.4443,0.9856,99.818,2.9474,6.29e-06,181.2
26,1.11005,99.973,3.4655,0.98989,99.823,2.9883,4.41e-06,177.1
27,1.11104,99.98,3.4696,0.98985,99.803,2.9949,2.93e-06,175.0
28,1.1085,99.98,3.453,0.98753,99.818,2.9849,1.86e-06,174.7
29,1.11163,99.984,3.4927,0.98911,99.823,2.9626,1.22e-06,174.7
30,1.1145,99.977,3.5048,0.99174,99.828,2.9922,1.00e-06,173.3
